Time,Name,engName,pctChg,in_flow,super_in_flow,big_in_flow,mid_in_flow,sml_in_flow,mktCap
2025-05-30 16:26:43,MMC,Marsh,0.4,-4.0,0.0,-2.0,0.0,-2.0,115
2025-05-30 16:26:35,TD,Toronto,0.16,0.0,0.0,0.0,-0.0,0.0,121
2025-05-30 16:25:47,VRTX,Vertex,-1.14,-9.0,0.0,-1.0,-8.0,0.0,114
2025-05-30 16:26:23,ADI,Analog,-1.29,14.0,0.0,3.0,8.0,3.0,106
2025-05-30 16:26:42,KKR,Kkr,-1.62,0.0,0.0,-1.0,-1.0,2.0,107
2025-05-30 16:26:44,MDT,Medtronic,0.32,5.0,0.0,1.0,-1.0,5.0,106
2025-05-30 16:26:47,LMT,Lockheed,0.19,1.0,0.0,-0.0,1.0,0.0,111
2025-05-30 16:17:41,MU,Micron,-2.84,-6.0,0.0,-4.0,-1.0,-1.0,105
2025-05-30 16:17:55,CRWD,Crowdstrike,0.92,6.0,0.0,6.0,0.0,0.0,115
2025-05-30 16:17:50,MSTR,Strategy,-1.39,-69.0,0.0,-13.0,-49.0,-7.0,100
2025-05-30 16:17:59,LRCX,Lam,-2.82,-23.0,0.0,-3.0,-8.0,-12.0,105
2025-05-30 16:17:56,APH,Amphenol,-0.18,9.0,0.0,-1.0,2.0,8.0,107
2025-05-30 16:13:04,KLAC,Kla,-1.77,1.0,0.0,1.0,-0.0,0.0,101
2025-05-30 16:17:50,ICE,Intercontinental,0.31,5.0,0.0,1.0,3.0,1.0,103
2025-05-30 16:17:55,UBS,UBS,0.47,-2.0,0.0,0.0,-1.0,-1.0,101
2025-05-30 16:17:41,CME,CME,0.34,8.0,0.0,1.0,1.0,6.0,103
2025-05-30 16:18:01,MO,Altria,0.96,5.0,0.0,-1.0,5.0,1.0,102
2025-05-30 16:18:02,BN,Brookfield,-0.61,2.0,0.0,0.0,1.0,1.0,95
2025-05-30 16:18:02,ENB,Enbridge,0.22,0.0,0.0,0.0,1.0,-1.0,100
