Time,Name,engName,pctChg,in_flow,super_in_flow,big_in_flow,mid_in_flow,sml_in_flow,mktCap
2025-06-03 11:48:00,6896.0,GOLDEN THROAT,0.0,-0.48,0.0,0.0,-0.25,-0.23,4.0
2025-06-03 11:47:00,6955.0,BOAN BIOTECH,0.32,-0.48,-2.77,0.97,-3.17,4.48,7.0
2025-06-03 11:50:00,1061.0,ESSEX BIO-TECH,-1.0,-0.49,0.0,0.0,-0.08,-0.42,3.0
2025-06-03 11:49:00,2443.0,AUTOSTREETS,1.6,-0.51,0.0,0.22,-0.83,0.1,3.0
2025-06-03 11:51:00,580.0,SUN.KING TECH,-0.84,-0.51,-0.3,-0.15,0.0,-0.07,2.0
2025-06-03 11:50:00,1854.0,CHINA WANTIAN,-4.51,-0.51,0.0,0.0,0.0,-0.51,3.0
2025-06-03 11:54:00,2185.0,BIOHEART-B,5.41,-0.51,-0.43,0.09,-0.1,-0.07,1.0
2025-06-03 11:57:00,1985.0,MICROWARE,-2.05,-0.52,0.0,-0.09,-0.2,-0.23,0.0
2025-06-03 11:51:00,9869.0,HELENS,-1.26,-0.53,0.0,-0.16,-0.06,-0.31,2.0
2025-06-03 11:51:00,1180.0,PARADISE ENT,-4.26,-0.54,0.0,-0.1,-0.23,-0.22,2.0
2025-06-03 11:53:00,3626.0,HSSP INTL,2.92,-0.55,0.0,0.0,0.0,-0.55,2.0
2025-06-03 11:53:00,2137.0,BRII-B,-0.54,-0.56,0.0,-0.18,0.03,-0.41,1.0
2025-06-03 11:46:00,1799.0,XINTE ENERGY,-0.48,-0.57,-0.5,-0.33,-0.03,0.29,6.0
2025-06-03 11:48:00,9666.0,JINKE SERVICES,1.19,-0.58,-0.46,0.0,-0.06,-0.05,4.0
2025-06-03 11:55:00,2126.0,JW THERAP-B,-4.08,-0.58,0.0,-0.08,-0.14,-0.37,1.0
2025-06-03 11:48:00,2373.0,BEAUTYFARM MED,2.46,-0.68,0.2,-0.1,-0.4,-0.38,4.0
2025-06-03 11:54:00,1611.0,SINOHOPE TECH,-6.39,-0.69,-0.05,0.08,-0.46,-0.26,1.0
2025-06-03 11:52:00,2306.0,YH ENT,-1.28,-0.79,-0.64,0.77,0.07,-0.98,2.0
2025-06-03 11:46:00,187.0,JINGCHENG MAC,1.44,-0.8,0.0,-0.46,0.05,-0.4,2.0
2025-06-03 11:46:00,2291.0,SCIENTECH,1.12,-0.82,-0.81,0.05,-0.09,0.03,8.0
