Time,Name,engName,pctChg,in_flow,super_in_flow,big_in_flow,mid_in_flow,sml_in_flow,mktCap
2025-05-28 14:54:00,354.0,CHINASOFT INT'L,-2.75,-37.44,-12.34,-6.11,-5.23,-13.76,14.0
2025-05-28 14:50:00,3888.0,KINGSOFT,-7.26,-39.65,-20.61,3.82,-16.7,-6.16,50.0
2025-05-28 14:51:00,3896.0,KINGSOFT CLOUD,-2.2,-40.92,-4.25,-27.37,-13.83,4.53,28.0
2025-05-28 14:55:00,1057.0,ZHEJIANG SHIBAO,1.75,-41.44,-17.51,-3.66,-13.14,-7.12,4.0
2025-05-28 14:52:00,6682.0,FOURTH PARADIGM,-5.93,-42.05,-16.4,-22.45,-11.35,8.15,22.0
2025-05-28 14:50:00,20.0,SENSETIME-W,0.0,-48.72,-4.17,-8.37,-15.7,-20.48,51.0
2025-05-28 14:48:00,9660.0,HORIZONROBOT-W,-5.68,-49.46,-12.32,-59.18,-15.9,37.94,99.0
2025-05-28 14:48:00,291.0,CHINA RES BEER,0.39,-51.67,7.88,26.16,-6.69,-79.02,84.0
2025-05-28 14:49:00,1177.0,SINO BIOPHARM,-0.94,-56.8,-54.77,-14.59,3.21,9.35,79.0
2025-05-28 14:49:00,6990.0,SKB BIO-B,-4.47,-57.99,-2.35,4.15,2.35,-62.15,69.0
2025-05-28 14:49:00,285.0,BYD ELECTRONIC,-1.85,-62.94,-40.33,-5.3,-13.18,-4.13,72.0
2025-05-28 14:48:00,2269.0,WUXI BIO,-1.27,-73.07,-9.39,-26.61,-31.76,-5.3,95.0
2025-05-28 14:53:00,2498.0,ROBOSENSE,-7.12,-92.58,-29.05,-33.66,-21.43,-8.45,17.0
2025-05-28 14:49:00,2382.0,SUNNY OPTICAL,-1.39,-145.98,-8.13,-5.27,-38.52,-94.07,66.0
